,timestamp,PM2.5,humidity,temperature
0,03/03/2022 00:00,104.5,84.6,23.9
1,03/03/2022 01:00,110.5,86.0,23.6
2,03/03/2022 02:00,127.5,87.6,23.4
3,03/03/2022 03:00,144.7,90.1,22.8
4,03/03/2022 04:00,148.9,91.5,22.4
5,03/03/2022 05:00,148.1,91.9,22.2
6,03/03/2022 06:00,148.5,92.5,22.0
7,03/03/2022 07:00,159.0,93.7,21.8
8,03/03/2022 08:00,151.6,92.7,22.1
9,03/03/2022 09:00,134.8,88.7,23.2
10,03/03/2022 10:00,124.3,83.5,24.8
11,03/03/2022 11:00,103.0,76.0,26.9
12,03/03/2022 12:00,53.0,67.5,28.8
13,03/03/2022 13:00,54.4,65.4,29.3
14,03/03/2022 14:00,44.9,67.4,28.3
15,03/03/2022 15:00,44.9,70.0,27.8
16,03/03/2022 16:00,62.9,71.8,27.7
17,03/03/2022 17:00,66.2,74.2,27.1
18,03/03/2022 18:00,45.8,77.2,26.5
19,03/03/2022 19:00,44.3,80.6,25.8
20,03/03/2022 20:00,44.3,83.6,25.2
21,03/03/2022 21:00,43.9,85.5,24.7
22,03/03/2022 22:00,44.4,87.7,24.0
23,03/03/2022 23:00,43.7,88.9,23.5
