,timestamp,PM2.5,humidity,temperature
0,09/04/2022 00:00,108.6,81.1,26.4
1,09/04/2022 01:00,102.6,84.0,25.8
2,09/04/2022 02:00,96.7,85.6,25.4
3,09/04/2022 03:00,90.0,87.2,25.1
4,09/04/2022 04:00,74.2,87.4,24.9
5,09/04/2022 05:00,79.5,88.2,24.8
6,09/04/2022 06:00,81.9,89.6,24.5
7,09/04/2022 07:00,91.2,91.0,24.5
8,09/04/2022 08:00,78.2,81.6,26.6
9,09/04/2022 09:00,67.7,72.9,28.2
10,09/04/2022 10:00,61.0,65.4,29.2
11,09/04/2022 11:00,56.4,57.5,30.7
12,09/04/2022 12:00,53.4,52.6,32.2
13,09/04/2022 13:00,53.2,48.6,33.3
14,09/04/2022 14:00,48.1,46.5,34.1
15,09/04/2022 15:00,47.9,47.3,34.3
16,09/04/2022 16:00,47.0,49.1,33.8
17,09/04/2022 17:00,45.4,49.8,32.6
18,09/04/2022 18:00,41.8,52.9,30.9
19,09/04/2022 19:00,42.5,62.0,28.9
20,09/04/2022 20:00,46.5,69.8,27.8
21,09/04/2022 21:00,46.7,75.1,27.2
22,09/04/2022 22:00,47.7,78.8,26.7
23,09/04/2022 23:00,53.8,81.9,26.2
