,timestamp,PM2.5,humidity,temperature
0,27/04/2022 00:00,24.3,98.9,27.6
1,27/04/2022 01:00,23.3,99.2,27.7
2,27/04/2022 02:00,20.3,99.5,27.6
3,27/04/2022 03:00,18.5,99.8,27.7
4,27/04/2022 04:00,17.8,99.9,27.7
5,27/04/2022 05:00,17.3,100.0,27.6
6,27/04/2022 06:00,16.4,100.0,27.5
7,27/04/2022 07:00,17.8,99.9,27.7
8,27/04/2022 08:00,19.5,98.1,28.4
9,27/04/2022 09:00,20.7,96.2,28.8
10,27/04/2022 10:00,21.5,94.4,29.3
11,27/04/2022 11:00,21.7,95.2,29.4
12,27/04/2022 12:00,24.9,91.9,30.0
13,27/04/2022 13:00,27.6,90.2,30.3
14,27/04/2022 14:00,26.8,88.2,31.0
15,27/04/2022 15:00,27.4,87.5,31.3
16,27/04/2022 16:00,25.8,87.4,31.4
17,27/04/2022 17:00,26.3,87.5,31.2
18,27/04/2022 18:00,30.0,92.0,29.9
19,27/04/2022 19:00,33.2,96.1,28.8
20,27/04/2022 20:00,32.9,96.9,28.3
21,27/04/2022 21:00,31.5,97.7,28.0
22,27/04/2022 22:00,29.2,97.4,28.3
23,27/04/2022 23:00,29.5,97.5,28.3
