,time,PM2.5,humidity,temperature
0,2021-10-06 20:00:00,92.2,92.2,29.1
1,2021-10-06 21:00:00,66.1,93.3,28.9
2,2021-10-06 22:00:00,66.6,95.5,28.6
3,2021-10-06 23:00:00,72.2,97.7,28.2
4,2021-10-07 00:00:00,62.4,99.3,27.9
5,2021-10-07 01:00:00,71.9,100.0,27.6
6,2021-10-07 02:00:00,80.3,100.0,27.5
7,2021-10-07 03:00:00,86.3,100.0,27.3
8,2021-10-07 04:00:00,72.4,100.0,27.0
9,2021-10-07 05:00:00,45.0,100.0,26.8
10,2021-10-07 06:00:00,62.8,100.0,26.6
11,2021-10-07 07:00:00,58.3,100.0,26.4
12,2021-10-07 08:00:00,46.1,98.9,27.2
13,2021-10-07 09:00:00,60.9,93.8,28.4
14,2021-10-07 10:00:00,69.0,88.9,29.7
15,2021-10-07 11:00:00,73.2,85.3,30.9
16,2021-10-07 12:00:00,76.4,80.5,32.3
17,2021-10-07 13:00:00,67.4,71.6,33.5
18,2021-10-07 14:00:00,55.7,65.8,33.9
19,2021-10-07 15:00:00,45.6,63.3,34.0
20,2021-10-07 16:00:00,48.8,64.2,34.0
21,2021-10-07 17:00:00,56.4,64.9,33.4
22,2021-10-07 18:00:00,132.3,74.7,32.0
23,2021-10-07 19:00:00,198.3,83.0,30.9
