,time,PM2.5,humidity,temperature
0,2021-08-22 16:00:00,15.4,52.9,38.0
1,2021-08-22 17:00:00,11.2,50.3,38.2
2,2021-08-22 18:00:00,13.9,60.1,35.7
3,2021-08-22 19:00:00,36.33,75.2,33.1
4,2021-08-22 20:00:00,35.44,77.2,32.0
5,2021-08-22 21:00:00,35.94,79.1,31.7
6,2021-08-22 22:00:00,19.7,80.5,31.4
7,2021-08-22 23:00:00,17.7,81.1,31.2
8,2021-08-23 00:00:00,15.0,81.7,31.1
9,2021-08-23 01:00:00,11.2,82.3,30.9
10,2021-08-23 02:00:00,9.5,82.9,30.7
11,2021-08-23 03:00:00,9.4,83.8,30.5
12,2021-08-23 04:00:00,8.4,84.1,30.6
13,2021-08-23 05:00:00,7.2,84.7,30.5
14,2021-08-23 06:00:00,7.9,84.5,30.6
15,2021-08-23 07:00:00,7.9,83.9,30.8
16,2021-08-23 08:00:00,9.9,81.6,31.6
17,2021-08-23 09:00:00,13.1,81.1,31.7
18,2021-08-23 10:00:00,19.1,79.9,31.6
19,2021-08-23 11:00:00,48.42,77.9,29.7
20,2021-08-23 12:00:00,41.5,77.1,29.4
21,2021-08-23 13:00:00,39.29,77.4,29.1
22,2021-08-23 14:00:00,19.2,77.2,29.0
23,2021-08-23 15:00:00,15.1,74.9,29.9
