,time,PM2.5,humidity,temperature
0,2021-11-22 20:00:00,,,
1,2021-11-22 21:00:00,,,
2,2021-11-22 22:00:00,,,
3,2021-11-22 23:00:00,,,
4,2021-11-23 00:00:00,,,
5,2021-11-23 01:00:00,,,
6,2021-11-23 02:00:00,,,
7,2021-11-23 03:00:00,,,
8,2021-11-23 04:00:00,,,
9,2021-11-23 05:00:00,,,
10,2021-11-23 06:00:00,,,
11,2021-11-23 07:00:00,,,
12,2021-11-23 08:00:00,,,
13,2021-11-23 09:00:00,,,
14,2021-11-23 10:00:00,,,
15,2021-11-23 11:00:00,,,
16,2021-11-23 12:00:00,,,
17,2021-11-23 13:00:00,,,
18,2021-11-23 14:00:00,,,
19,2021-11-23 15:00:00,,,
20,2021-11-23 16:00:00,,,
21,2021-11-23 17:00:00,,,
22,2021-11-23 18:00:00,,,
23,2021-11-23 19:00:00,,,
