,time,PM2.5,humidity,temperature
0,2021-08-29 16:00:00,11.4,57.7,33.6
1,2021-08-29 17:00:00,12.4,62.5,32.3
2,2021-08-29 18:00:00,13.7,66.1,31.2
3,2021-08-29 19:00:00,13.8,67.6,30.3
4,2021-08-29 20:00:00,12.0,72.5,29.7
5,2021-08-29 21:00:00,14.6,76.9,29.2
6,2021-08-29 22:00:00,13.5,78.8,29.0
7,2021-08-29 23:00:00,13.8,80.0,28.9
8,2021-08-30 00:00:00,10.8,81.4,28.7
9,2021-08-30 01:00:00,7.4,82.6,28.6
10,2021-08-30 02:00:00,6.2,82.7,28.5
11,2021-08-30 03:00:00,12.9,83.1,28.3
12,2021-08-30 04:00:00,67.18,85.8,27.5
13,2021-08-30 05:00:00,75.65,86.0,27.3
14,2021-08-30 06:00:00,75.99,86.5,27.0
15,2021-08-30 07:00:00,79.96,85.6,27.2
16,2021-08-30 08:00:00,72.36,81.9,28.1
17,2021-08-30 09:00:00,57.26,74.0,30.4
18,2021-08-30 10:00:00,55.0,67.6,32.4
19,2021-08-30 11:00:00,22.96,58.2,34.7
20,2021-08-30 12:00:00,11.9,55.6,34.6
21,2021-08-30 13:00:00,11.9,55.5,34.5
22,2021-08-30 14:00:00,9.8,55.1,34.9
23,2021-08-30 15:00:00,8.8,57.7,33.8
