,timestamp,PM2.5,humidity,temperature
0,08/03/2022 00:00,50.5,82.4,21.7
1,08/03/2022 01:00,58.3,85.9,21.6
2,08/03/2022 02:00,70.7,89.2,21.2
3,08/03/2022 03:00,76.6,91.2,21.1
4,08/03/2022 04:00,120.8,91.7,20.8
5,08/03/2022 05:00,103.7,90.9,21.2
6,08/03/2022 06:00,88.5,91.5,21.0
7,08/03/2022 07:00,92.6,92.2,20.9
8,08/03/2022 08:00,97.4,92.0,20.9
9,08/03/2022 09:00,84.6,91.4,21.4
10,08/03/2022 10:00,62.6,84.1,21.4
11,08/03/2022 11:00,29.9,68.9,21.8
12,08/03/2022 12:00,17.4,63.8,22.4
13,08/03/2022 13:00,18.0,65.5,22.8
14,08/03/2022 14:00,21.2,68.0,23.3
15,08/03/2022 15:00,23.5,70.0,23.5
16,08/03/2022 16:00,21.7,68.9,23.5
17,08/03/2022 17:00,19.6,66.1,23.3
18,08/03/2022 18:00,20.8,66.9,22.7
19,08/03/2022 19:00,30.0,68.9,21.8
20,08/03/2022 20:00,36.7,73.1,21.4
21,08/03/2022 21:00,36.5,75.9,21.1
22,08/03/2022 22:00,39.6,81.2,20.8
23,08/03/2022 23:00,39.0,81.6,20.6
