,time,PM2.5,humidity,temperature
0,2021-12-30 20:00:00,64.8,77.1,17.2
1,2021-12-30 21:00:00,61.2,77.9,16.7
2,2021-12-30 22:00:00,61.4,78.7,16.5
3,2021-12-30 23:00:00,50.3,79.8,16.1
4,2021-12-31 00:00:00,47.6,80.3,15.8
5,2021-12-31 01:00:00,45.9,84.6,15.2
6,2021-12-31 02:00:00,50.0,92.5,14.3
7,2021-12-31 03:00:00,50.3,96.1,14.0
8,2021-12-31 04:00:00,44.0,96.2,14.1
9,2021-12-31 05:00:00,44.5,95.7,14.2
10,2021-12-31 06:00:00,46.8,96.5,14.1
11,2021-12-31 07:00:00,51.6,97.3,14.0
12,2021-12-31 08:00:00,56.1,97.7,14.2
13,2021-12-31 09:00:00,49.9,96.8,14.3
14,2021-12-31 10:00:00,49.0,96.6,14.5
15,2021-12-31 11:00:00,53.1,95.2,14.8
16,2021-12-31 12:00:00,57.6,92.7,15.2
17,2021-12-31 13:00:00,59.8,90.1,15.6
18,2021-12-31 14:00:00,58.4,88.1,16.0
19,2021-12-31 15:00:00,60.5,86.2,16.5
20,2021-12-31 16:00:00,53.6,85.8,16.6
21,2021-12-31 17:00:00,63.2,86.3,16.6
22,2021-12-31 18:00:00,71.9,87.0,16.5
23,2021-12-31 19:00:00,77.8,88.2,16.4
