,time,PM2.5,humidity,temperature
0,2021-08-21 16:00:00,7.8,56.1,40.4
1,2021-08-21 17:00:00,8.3,56.9,39.8
2,2021-08-21 18:00:00,12.4,67.2,37.6
3,2021-08-21 19:00:00,13.3,80.3,34.1
4,2021-08-21 20:00:00,13.7,84.4,32.7
5,2021-08-21 21:00:00,8.6,87.0,31.9
6,2021-08-21 22:00:00,6.7,88.8,31.4
7,2021-08-21 23:00:00,6.4,91.3,31.1
8,2021-08-22 00:00:00,7.5,93.2,30.8
9,2021-08-22 01:00:00,6.8,94.4,30.6
10,2021-08-22 02:00:00,6.5,95.4,30.5
11,2021-08-22 03:00:00,6.3,96.2,30.5
12,2021-08-22 04:00:00,7.1,97.8,30.3
13,2021-08-22 05:00:00,6.8,98.6,30.2
14,2021-08-22 06:00:00,6.7,100.0,29.9
15,2021-08-22 07:00:00,6.6,99.5,30.1
16,2021-08-22 08:00:00,7.1,94.8,31.0
17,2021-08-22 09:00:00,7.4,88.8,32.2
18,2021-08-22 10:00:00,8.5,84.8,33.2
19,2021-08-22 11:00:00,9.8,87.7,32.7
20,2021-08-22 12:00:00,10.3,85.8,33.4
21,2021-08-22 13:00:00,10.0,81.5,34.3
22,2021-08-22 14:00:00,8.7,77.2,35.1
23,2021-08-22 15:00:00,8.9,69.8,36.6
