,timestamp,PM2.5,humidity,temperature
0,10/02/2022 00:00,7.5,99.0,12.5
1,10/02/2022 01:00,7.0,99.0,12.3
2,10/02/2022 02:00,7.8,99.0,12.2
3,10/02/2022 03:00,7.2,99.0,12.3
4,10/02/2022 04:00,7.3,99.0,12.2
5,10/02/2022 05:00,8.0,99.0,12.2
6,10/02/2022 06:00,11.5,99.0,12.4
7,10/02/2022 07:00,11.0,99.0,12.4
8,10/02/2022 08:00,9.3,99.0,12.7
9,10/02/2022 09:00,13.1,99.0,13.0
10,10/02/2022 10:00,16.7,99.0,13.3
11,10/02/2022 11:00,20.4,99.0,13.6
12,10/02/2022 12:00,16.1,99.0,14.2
13,10/02/2022 13:00,20.3,99.0,15.1
14,10/02/2022 14:00,24.0,99.0,15.8
15,10/02/2022 15:00,22.2,99.0,16.0
16,10/02/2022 16:00,22.9,99.0,16.1
17,10/02/2022 17:00,22.7,99.0,16.0
18,10/02/2022 18:00,22.8,99.0,15.9
19,10/02/2022 19:00,22.3,99.0,15.5
20,10/02/2022 20:00,22.2,99.0,15.3
21,10/02/2022 21:00,22.2,99.0,15.1
22,10/02/2022 22:00,22.1,99.0,14.9
23,10/02/2022 23:00,24.8,99.0,14.9
