,timestamp,PM2.5,humidity,temperature
0,23/02/2022 00:00,21.0,71.3,10.4
1,23/02/2022 01:00,26.5,71.4,10.8
2,23/02/2022 02:00,26.6,70.4,13.0
3,23/02/2022 03:00,17.5,69.5,13.2
4,23/02/2022 04:00,20.7,69.4,13.1
5,23/02/2022 05:00,24.8,70.2,13.1
6,23/02/2022 06:00,42.4,71.5,12.7
7,23/02/2022 07:00,42.7,72.3,12.5
8,23/02/2022 08:00,29.0,67.2,13.2
9,23/02/2022 09:00,20.9,61.3,14.2
10,23/02/2022 10:00,23.1,57.1,15.1
11,23/02/2022 11:00,22.2,53.6,16.7
12,23/02/2022 12:00,26.2,51.5,17.9
13,23/02/2022 13:00,34.4,52.2,18.5
14,23/02/2022 14:00,37.9,51.6,18.9
15,23/02/2022 15:00,43.5,51.1,19.2
16,23/02/2022 16:00,46.7,52.8,19.1
17,23/02/2022 17:00,46.4,56.2,18.1
18,23/02/2022 18:00,45.1,57.8,17.6
19,23/02/2022 19:00,46.1,59.8,17.1
20,23/02/2022 20:00,45.4,60.2,17.0
21,23/02/2022 21:00,55.8,63.9,17.0
22,23/02/2022 22:00,63.6,67.0,16.8
23,23/02/2022 23:00,66.5,68.5,16.8
