,time,PM2.5,humidity,temperature
0,2021-06-26 16:00:00,,,
1,2021-06-26 17:00:00,,,
2,2021-06-26 18:00:00,,,
3,2021-06-26 19:00:00,,,
4,2021-06-26 20:00:00,,,
5,2021-06-26 21:00:00,,,
6,2021-06-26 22:00:00,,,
7,2021-06-26 23:00:00,,,
8,2021-06-27 00:00:00,,,
9,2021-06-27 01:00:00,,,
10,2021-06-27 02:00:00,,,
11,2021-06-27 03:00:00,,,
12,2021-06-27 04:00:00,,,
13,2021-06-27 05:00:00,,,
14,2021-06-27 06:00:00,,,
15,2021-06-27 07:00:00,,,
16,2021-06-27 08:00:00,,,
17,2021-06-27 09:00:00,,,
18,2021-06-27 10:00:00,,,
19,2021-06-27 11:00:00,,,
20,2021-06-27 12:00:00,,,
21,2021-06-27 13:00:00,,,
22,2021-06-27 14:00:00,,,
23,2021-06-27 15:00:00,,,
