,time,PM2.5,humidity,temperature
0,2021-07-06 16:00:00,,,
1,2021-07-06 17:00:00,,,
2,2021-07-06 18:00:00,,,
3,2021-07-06 19:00:00,,,
4,2021-07-06 20:00:00,,,
5,2021-07-06 21:00:00,,,
6,2021-07-06 22:00:00,,,
7,2021-07-06 23:00:00,,,
8,2021-07-07 00:00:00,,,
9,2021-07-07 01:00:00,,,
10,2021-07-07 02:00:00,,,
11,2021-07-07 03:00:00,,,
12,2021-07-07 04:00:00,,,
13,2021-07-07 05:00:00,,,
14,2021-07-07 06:00:00,,,
15,2021-07-07 07:00:00,,,
16,2021-07-07 08:00:00,,,
17,2021-07-07 09:00:00,,,
18,2021-07-07 10:00:00,,,
19,2021-07-07 11:00:00,,,
20,2021-07-07 12:00:00,,,
21,2021-07-07 13:00:00,,,
22,2021-07-07 14:00:00,,,
23,2021-07-07 15:00:00,,,
