,time,PM2.5,humidity,temperature
0,2021-12-24 20:00:00,63.0,93.3,22.7
1,2021-12-24 21:00:00,68.8,93.7,22.6
2,2021-12-24 22:00:00,68.9,94.4,22.4
3,2021-12-24 23:00:00,62.0,95.4,22.2
4,2021-12-25 00:00:00,56.9,98.0,22.1
5,2021-12-25 01:00:00,55.8,99.0,22.0
6,2021-12-25 02:00:00,52.8,99.0,21.7
7,2021-12-25 03:00:00,45.3,99.6,21.6
8,2021-12-25 04:00:00,44.2,99.4,21.5
9,2021-12-25 05:00:00,46.6,99.2,21.4
10,2021-12-25 06:00:00,46.5,99.0,21.4
11,2021-12-25 07:00:00,47.3,99.0,21.4
12,2021-12-25 08:00:00,50.3,99.1,21.6
13,2021-12-25 09:00:00,53.1,96.7,22.2
14,2021-12-25 10:00:00,57.3,94.3,22.8
15,2021-12-25 11:00:00,52.7,93.3,23.1
16,2021-12-25 12:00:00,53.9,92.8,23.4
17,2021-12-25 13:00:00,61.0,91.2,24.2
18,2021-12-25 14:00:00,61.0,91.6,24.4
19,2021-12-25 15:00:00,28.3,91.3,23.9
20,2021-12-25 16:00:00,30.4,91.9,24.2
21,2021-12-25 17:00:00,36.5,93.6,24.1
22,2021-12-25 18:00:00,40.2,96.2,23.6
23,2021-12-25 19:00:00,30.3,95.9,23.5
