,time,PM2.5,humidity,temperature
0,2021-07-30 16:00:00,15.8,61.5,38.6
1,2021-07-30 17:00:00,,,
2,2021-07-30 18:00:00,16.8,64.2,38.4
3,2021-07-30 19:00:00,,,
4,2021-07-30 20:00:00,15.3,86.7,31.3
5,2021-07-30 21:00:00,9.0,92.0,30.7
6,2021-07-30 22:00:00,8.7,95.4,30.1
7,2021-07-30 23:00:00,9.0,95.2,30.3
8,2021-07-31 00:00:00,6.2,99.6,29.6
9,2021-07-31 01:00:00,8.7,100.0,29.3
10,2021-07-31 02:00:00,5.6,100.0,29.2
11,2021-07-31 03:00:00,9.3,100.0,28.8
12,2021-07-31 04:00:00,13.3,100.0,28.4
13,2021-07-31 05:00:00,13.6,100.0,28.2
14,2021-07-31 06:00:00,13.9,100.0,28.2
15,2021-07-31 07:00:00,11.4,100.0,29.3
16,2021-07-31 08:00:00,14.8,99.8,30.2
17,2021-07-31 09:00:00,17.4,89.9,31.9
18,2021-07-31 10:00:00,42.33,82.9,33.6
19,2021-07-31 11:00:00,48.56,79.7,34.6
20,2021-07-31 12:00:00,43.41,76.4,35.7
21,2021-07-31 13:00:00,31.48,72.7,36.3
22,2021-07-31 14:00:00,28.25,68.7,37.9
23,2021-07-31 15:00:00,15.1,65.7,38.5
