,time,PM2.5,humidity,temperature
0,2021-11-30 20:00:00,38.4,78.3,23.5
1,2021-11-30 21:00:00,36.1,80.3,23.1
2,2021-11-30 22:00:00,41.7,78.9,22.5
3,2021-11-30 23:00:00,47.0,75.5,22.1
4,2021-12-01 00:00:00,38.6,76.3,21.5
5,2021-12-01 01:00:00,29.5,73.2,21.1
6,2021-12-01 02:00:00,25.5,72.3,20.9
7,2021-12-01 03:00:00,25.4,74.7,20.4
8,2021-12-01 04:00:00,25.4,74.7,20.2
9,2021-12-01 05:00:00,26.5,76.3,19.9
10,2021-12-01 06:00:00,28.3,77.6,19.6
11,2021-12-01 07:00:00,29.3,75.6,19.4
12,2021-12-01 08:00:00,29.2,72.1,19.7
13,2021-12-01 09:00:00,26.1,65.3,20.7
14,2021-12-01 10:00:00,25.2,58.9,21.6
15,2021-12-01 11:00:00,27.0,56.8,22.6
16,2021-12-01 12:00:00,29.2,55.2,23.8
17,2021-12-01 13:00:00,27.0,51.0,24.6
18,2021-12-01 14:00:00,24.7,47.9,25.0
19,2021-12-01 15:00:00,22.9,47.0,25.0
20,2021-12-01 16:00:00,22.5,47.1,24.8
21,2021-12-01 17:00:00,23.8,49.9,23.9
22,2021-12-01 18:00:00,27.8,55.7,22.2
23,2021-12-01 19:00:00,36.2,59.1,21.6
